,Game,Popularity,Views,Channels
0,Fortnite,177131,161487,11549
1,Call of Duty: Black Ops 4,97611,99363,1203
2,World of Warcraft,80481,80641,4070
3,League of Legends,54340,58923,2375
4,IRL,60404,57040,931
5,Destiny 2,34667,34617,2201
6,Grand Theft Auto V,33640,32772,470
7,Tom Clancy's Rainbow Six: Siege,30708,29879,1336
8,Hearthstone,28234,29225,214
9,Overwatch,24836,25117,1719
