Screen Name,Real Name,Tweets,Followers,Following,Favorites Count,Date Created
fortnitegame,,,,,
LeagueOfLegends,,,,,
PlayHearthstone,,,,,
PlayOverwatch,,,,,
Warcraft,,,,,
Rainbow6Game,,,,,
CallofDuty,,,,,
DestinyTheGame,,,,,
RockstarGames,,,,,
